,맥주,년,평점
0,ARK Seoulite Ale, 2018,2.8833333333333333
1,ARK Seoulite Ale, 2019,3.05
2,ARK Seoulite Ale, 2020,3.35
3,Asahi Super Dry, 2000,2.7000000000000006
4,Asahi Super Dry, 2001,2.4857142857142853
5,Asahi Super Dry, 2002,2.401123595505618
6,Asahi Super Dry, 2003,2.226506024096386
7,Asahi Super Dry, 2004,2.151190476190476
8,Asahi Super Dry, 2005,1.9711340206185566
9,Asahi Super Dry, 2006,2.0516483516483515
10,Asahi Super Dry, 2007,2.0166666666666666
11,Asahi Super Dry, 2008,2.1533333333333333
12,Asahi Super Dry, 2009,2.053846153846154
13,Asahi Super Dry, 2010,2.04320987654321
14,Asahi Super Dry, 2011,2.2263636363636365
15,Asahi Super Dry, 2012,2.125714285714286
16,Asahi Super Dry, 2013,2.230952380952381
17,Asahi Super Dry, 2014,2.2205882352941178
18,Asahi Super Dry, 2015,2.1333333333333333
19,Asahi Super Dry, 2016,2.217142857142857
20,Asahi Super Dry, 2017,2.3698630136986303
21,Asahi Super Dry, 2018,2.5887323943661973
22,Asahi Super Dry, 2019,2.4109375
23,Asahi Super Dry, 2020,2.345945945945946
24,Asahi Super Dry, 2021,2.4
25,Asahi Super Dry Black, 2012,2.4615384615384617
26,Asahi Super Dry Black, 2013,2.375
27,Asahi Super Dry Black, 2014,2.675
28,Asahi Super Dry Black, 2015,2.5
29,Asahi Super Dry Black, 2016,2.82
30,Asahi Super Dry Black, 2017,2.7181818181818183
31,Asahi Super Dry Black, 2018,2.6999999999999997
32,Asahi Super Dry Black, 2019,2.8666666666666667
33,Asahi Super Dry Black, 2020,2.96
34,Bali Hai Premium Lager, 2019,2.4
35,Bavaria 8.6 (Original), 2000,2.5
36,Bavaria 8.6 (Original), 2001,1.8333333333333333
37,Bavaria 8.6 (Original), 2002,2.076923076923077
38,Bavaria 8.6 (Original), 2003,2.1999999999999997
39,Bavaria 8.6 (Original), 2004,2.2333333333333334
40,Bavaria 8.6 (Original), 2005,2.207692307692308
41,Bavaria 8.6 (Original), 2006,1.976
42,Bavaria 8.6 (Original), 2007,2.5749999999999997
43,Bavaria 8.6 (Original), 2008,1.8666666666666667
44,Bavaria 8.6 (Original), 2009,2.0785714285714287
45,Bavaria 8.6 (Original), 2010,2.1357142857142857
46,Bavaria 8.6 (Original), 2011,2.2153846153846155
47,Bavaria 8.6 (Original), 2012,2.32
48,Bavaria 8.6 (Original), 2013,2.380952380952381
49,Bavaria 8.6 (Original), 2014,1.935
50,Bavaria 8.6 (Original), 2015,2.5217391304347827
51,Bavaria 8.6 (Original), 2016,2.257142857142857
52,Bavaria 8.6 (Original), 2017,2.231578947368421
53,Bavaria 8.6 (Original), 2018,2.0999999999999996
54,Bavaria 8.6 (Original), 2019,2.0941176470588236
55,Bavaria 8.6 (Original), 2020,2.75
56,Bavaria 8.6 (Original), 2021,2.5
57,Bavaria Pilsener / Premium Beer, 2000,1.9
58,Bavaria Pilsener / Premium Beer, 2001,2.857142857142857
59,Bavaria Pilsener / Premium Beer, 2002,2.1847457627118647
60,Bavaria Pilsener / Premium Beer, 2003,2.088636363636364
61,Bavaria Pilsener / Premium Beer, 2004,1.943478260869565
62,Bavaria Pilsener / Premium Beer, 2005,2.2245614035087717
63,Bavaria Pilsener / Premium Beer, 2006,2.285185185185185
64,Bavaria Pilsener / Premium Beer, 2007,2.265753424657534
65,Bavaria Pilsener / Premium Beer, 2008,2.2781818181818183
66,Bavaria Pilsener / Premium Beer, 2009,2.135135135135135
67,Bavaria Pilsener / Premium Beer, 2010,2.1736842105263157
68,Bavaria Pilsener / Premium Beer, 2011,2.1594202898550723
69,Bavaria Pilsener / Premium Beer, 2012,2.175
70,Bavaria Pilsener / Premium Beer, 2013,2.176829268292683
71,Bavaria Pilsener / Premium Beer, 2014,2.137804878048781
72,Bavaria Pilsener / Premium Beer, 2015,2.1516666666666664
73,Bavaria Pilsener / Premium Beer, 2016,2.3794871794871795
74,Bavaria Pilsener / Premium Beer, 2017,2.107317073170732
75,Bavaria Pilsener / Premium Beer, 2018,2.626470588235294
76,Bavaria Pilsener / Premium Beer, 2019,2.2956521739130435
77,Bavaria Pilsener / Premium Beer, 2020,2.06
78,Beck's, 2000,2.9181818181818184
79,Beck's, 2001,2.5808219178082195
80,Beck's, 2002,2.5262910798122067
81,Beck's, 2003,2.4061643835616437
82,Beck's, 2004,2.3889655172413793
83,Beck's, 2005,2.4118055555555555
84,Beck's, 2006,2.357638888888889
85,Beck's, 2007,2.393081761006289
86,Beck's, 2008,2.3273809523809526
87,Beck's, 2009,2.21
88,Beck's, 2010,2.223529411764706
89,Beck's, 2011,2.35
90,Beck's, 2012,2.340268456375839
91,Beck's, 2013,2.343661971830986
92,Beck's, 2014,2.1627906976744184
93,Beck's, 2015,2.3008620689655173
94,Beck's, 2016,2.291954022988506
95,Beck's, 2017,2.2164556962025315
96,Beck's, 2018,2.4738461538461536
97,Beck's, 2019,2.418
98,Beck's, 2020,2.323529411764706
99,Berliner Kindl Jubiläums Pilsener Premium, 2001,1.4666666666666668
100,Berliner Kindl Jubiläums Pilsener Premium, 2002,1.85
101,Berliner Kindl Jubiläums Pilsener Premium, 2003,3.0833333333333335
102,Berliner Kindl Jubiläums Pilsener Premium, 2004,2.3833333333333333
103,Berliner Kindl Jubiläums Pilsener Premium, 2005,2.4
104,Berliner Kindl Jubiläums Pilsener Premium, 2006,2.44
105,Berliner Kindl Jubiläums Pilsener Premium, 2007,2.5500000000000003
106,Berliner Kindl Jubiläums Pilsener Premium, 2008,2.40625
107,Berliner Kindl Jubiläums Pilsener Premium, 2009,2.7199999999999998
